,Author,Poem
0,"Aburto Uribe,Teresa",A Neruda
1,"Aburto Uribe,Teresa","Te Doy, En Este Papel"
2,"Aburto Uribe,Teresa",Acaso Fue La Tarde
3,"Aburto Uribe,Teresa","Podré, Quizás, Distanciarme En El Tiempo"
4,"Aburto Uribe,Teresa",Cuando El Silencio De Las Noches
5,"Aburto Uribe,Teresa",Algún Día Me Iré... Pero Aquí Quedaré
6,"Aburto Uribe,Teresa",Andaré Los Caminos Buscando El Horizonte
7,"Aburto Uribe,Teresa",Aquel Puerto Solo
8,"Aburto Uribe,Teresa",Aquí Te Espero
9,"Aburto Uribe,Teresa",Basta Mirar Tus Ojos
10,"Aburto Uribe,Teresa",Rodeados Por La Quietud De La Noche
11,"Aburto Uribe,Teresa",Ese Otro Ser
12,"Aburto Uribe,Teresa",Recuerdos
13,"Aburto Uribe,Teresa",Cuando Se Tiene Un Amigo
14,"Aburto Uribe,Teresa",De Esas Tres Cosas
15,"Aburto Uribe,Teresa",Rutina
16,"Aburto Uribe,Teresa",Deseo De Libertad
17,"Aburto Uribe,Teresa",Dulce Soledad Que Me Acompañas
18,"Aburto Uribe,Teresa",El Eco De Mi Voz
19,"Aburto Uribe,Teresa",Extraña Manera De Amar
20,"Aburto Uribe,Teresa",Esto Que Ves Soy Yo
21,"Aburto Uribe,Teresa",Me Gusta Tu Silencio
22,"Aburto Uribe,Teresa","No Me Quiero Ir, Estar Apenas"
23,"Aburto Uribe,Teresa",No Sé Qué Me Une Al Cielo-Decías
24,"Aburto Uribe,Teresa",Nostalgias De Puerto
25,"Aburto Uribe,Teresa",Y Luego Nada
26,"Aburto Uribe,Teresa",Te Necesito Amiga
27,"Aburto Uribe,Teresa",Pensarás Tú
28,"Aburto Uribe,Teresa","Podré, Quizás, Elevarme Al Infinito"
29,"Aburto Uribe,Teresa",Si Escuchas Una Tarde
30,"Aburto Uribe,Teresa",Si Me Quieres...
31,"Aburto Uribe,Teresa",Si Yo Tuviera Coraje
32,"Aburto Uribe,Teresa",Tiempo Sin Memoria
33,"Aburto Uribe,Teresa",Tengo Miedo De No Volver A Verte
34,"Aburto Uribe,Teresa",Volveré Una Tarde De Septiembre
35,"Aburto Uribe,Teresa",Volé En Tu Recuerdo
36,"Aching Samatelo,César",Anoche Soñé Que No Existía
37,"Aching Samatelo,César",De Entre Las Piedras Y El Musgo
38,"Aching Samatelo,César",Una Hoja De Parra Se Aleja Flotando Sobre Las Aguas De Un Río
39,"Aching Samatelo,César",Una Hoja De Parra Se Aleja Flotando Sobre Las Aguas De Un Río
40,"Aching Samatelo,César",Tan Quieto El Mar
41,"Aching Samatelo,César",La Luna Y El Poeta
42,"Aching Samatelo,César",Si Tan Sólo Fuera Fácil
43,"Aching Samatelo,César",Parado Estupefacto Frente Al Fuego
44,"Aching Samatelo,César",Mujer
45,"Aching Samatelo,César",Tristeza
46,"Aching Samatelo,César",Te Doy Mi Hoy
47,"Aching Samatelo,César",Te Habrás Preguntado Por Qué No Desisto
48,"Acosta Sánchez,Juan Felipe",El Amor
49,"Acosta Sánchez,Juan Felipe",En Una Balacera De Palabras
50,"Acosta Sánchez,Juan Felipe",Por Los Otros
51,"Acosta Sánchez,Juan Felipe","Tu Dulzura Me Transporta, Me Lleva"
52,"Acosta Sánchez,Juan Felipe",Quiso Aumentarme
53,"Adames,Roberto José",Llueve
54,"Adames,Roberto José",Mi Ojo Inútil
55,"Adrados Maestre,Enrique",Elegía Al Perro De Un Amigo
56,"Adrados Maestre,Enrique",Elegía Al Gato
57,"Adrados Maestre,Enrique",Nostaljia Ii
58,"Adrados Maestre,Enrique",Veo Un Castillo
59,"Adrados Maestre,Enrique",Solamente Palabras Me Acompañan
60,"Adrados Maestre,Enrique",Mariposa Amarilla
61,"Adrados Maestre,Enrique",Romance Oscuro Del Caminante
62,"Adrados Maestre,Enrique",...Y El Arte Es Compuesto Por Ti
63,"Adrados Maestre,Enrique",Siento Decirte Que Anoche
64,"Adrados Maestre,Enrique",Recuerdos De Otros Tiempos
65,"Adrados Maestre,Enrique",Somos Los Hijos De La Roca Madre
66,"Adrados Maestre,Enrique",¿Vida Igual A Muerte?
67,Aguijonmagico,Rechazo
68,Aguijonmagico,Vivo Solo En Un Planeta Abandonado
69,"Aguilar Martínez,Luis",Mantel De Tulipanes Amarillos Viii
70,"Ainchil,Claudia",¿Es Tarde? Pregunto
71,"Ainchil,Claudia",Los Adioses Como Venas Silenciosas
72,"Ainchil,Claudia",En Combate
73,"Ainchil,Claudia",Será Que Estoy Un Poco Húmeda
74,"Akinin Levy,Samuel",Divagancias De Tercera Edad
75,"Akinin Levy,Samuel",Me Da La Impresión De Que No Sé Querer
76,"Akinin Levy,Samuel",Forjando Nuevos Caminos
77,"Akinin Levy,Samuel",Son Muchas Las Veces En Las Que La Angustia Nos Hace Ver El Panorama De Otro Modo
78,"Akinin Levy,Samuel",Romper Un Amor
79,"Al Haded,Alí",La Voz Del Mar
80,"Al Haded,Alí",Un Chagall
81,"Al Haded,Alí",Mi Tierra
82,"Al Haded,Alí",Mi Amor... ¡Por Una Rosa!
83,"Al Haded,Alí",Beso Lánguido Del Sol Sobre La Panza
84,"Al Haded,Alí",Los Alerces Y Heráclito
85,"Al Haded,Alí",Soneto Para Mi Amada (Nina De L´Amore)
86,"Al Haded,Alí",Un Haz De Luz Que Se Filtra Por La Balaustrada De Los Pinos
87,"Al Haded,Alí",El Segmento Lapidario
88,"Al Haded,Alí",Romance Del Bosque Y La Niña Pobre
89,"Al Haded,Alí",Hombre De Mar
90,"Al Haded,Alí",Sobre La Horqueta De La Rama Añeja
91,"Al Haded,Alí",Palabras De Un Poeta
92,"Al Haded,Alí",Las Mil Batallas Del Coronel Y Una Sola Huella
93,"Al Haded,Alí",La Sed Del Corsario Sajón
94,"Al Haded,Alí",Un Sueño Y Una Pasión
95,"Al Haded,Alí",Escribiré Sonetos En El Viento
