poem	text	lemmatized_text
jose-manuel-lucia-megias_en-brazos-del-amado-pasan-las-horas.txt	"En brazos del Amado pasan las horas. 
Son la tierra y el campo donde habito. 
Respiro en su aliento y en sus ojos 
Veo nacer el día y las primeras 
Caricias apoyado en su espalda. 
He creado rutinas con su cuerpo 
Para llenar de vida nuestro encierro. 
Aplaudo cada gesto de su boca."	"en brazo del Amado pasar el hora .  
 ser el tierra y el campo donde habitar .  
 respirar en su aliento y en su ojo  
 ver nacer el día y el primero  
 Caricias apoyado en su espalda .  
 haber crear rutina con su cuerpo  
 para llenar de vida nuestro encierro .  
 aplaudir cada gesto de su boca ."
lorenzo oliván_la piel es lo profundo.txt	"Solo el calor
funde las propiedades de los cuerpos.
Y es también el calor
una forma sutil de identidad.
El calor de rozarnos con los otros
modela, en movimientos
curvos, el propio yo.
¿Qué forma de visión hay en la piel
que se busca en la piel de a quienes quiere?
Se van dando la vuelta las palabras:
el silencio no inspira,
el centro es eje inútil
y el adentro no sirve.
Tu pasión pasa solo
por lo superficial:
por tocar superficies
palpitantes, vibrantes y encendidas.
Memoria tiene el tacto.
La piel -hoy más que nunca- es lo profundo."	"solo el calor 
 fundir el propiedad de el cuerpo . 
 y ser también el calor 
 uno forma sutil de identidad . 
 el calor de rozar yo con el otro 
 modelar , en movimiento 
 curvo , el propio yo . 
 ¿ qué forma de visión haber en el piel 
 que él buscar en el piel de a quien querer ? 
 él ir dar el vuelta el palabra : 
 el silencio no inspirar , 
 el centro ser eje inútil 
 y el adentro no servir . 
 tu pasión pasar solo 
 por él superficial : 
 por tocar superficie 
 palpitante , vibrante y encendido . 
 memoria tener el tacto . 
 el piel -hoy más que nunca- ser él profundo ."
virgilioconb_sin título.txt	"Palatino reducido a una loma.
Otra vez, otra ciudad, otra Helena
otro nombre tallado en la arena
con el deseo de perdurar asoma
"	"Palatino reducido a uno loma . 
 otro vez , otro ciudad , otro Helena 
 otro nombre tallado en el arena 
 con el deseo de perdurar asomar 
"
jairo anibal_niño.txt	"Usted que es una persona adulta
– y por lo tanto- 
sensata, madura, razonable, 
con una gran experiencia 
y que sabe muchas cosas, 
¿qué quiere ser cuando sea niño? 
"	"usted que ser uno persona adulto 
 – y por él tanto- 
 sensato , maduro , razonable , 
 con uno gran experiencia 
 y que saber mucho cosa , 
 ¿ qué querer ser cuando ser niño ? 
"
felipe benítez reyes_el enfermo.txt	"Instalado en la pureza más sola del dolor,
en un territorio incontaminado
donde no vive más que el dolor puro,
como una identidad desvanecida
que se ha llevado el aire,
¿con qué sueña?
¿Aristas que se juntan,
espirales letárgicas que giran,
un abismo al abismo...?
¿Qué narratividad rige su sueño?
En su sueño agitado, ¿qué sucede?
¿Qué hay dentro de cada cual que no es de nadie?
En esta asepsia clínica, en este plenilunio de la nada,
¿qué se puede soñar cuando ya solo queda
la pureza más sola del dolor?"	"instalado en el pureza más solo del dolor , 
 en uno territorio incontaminado 
 donde no vivir más que el dolor puro , 
 como uno identidad desvanecido 
 que él haber llevar el aire , 
 ¿ con qué soñar ? 
 ¿ arista que él juntar , 
 espiral letárgico que girar , 
 uno abismo al abismo ... ? 
 ¿ qué narratividad regir su sueño ? 
 en su sueño agitado , ¿ qué suceder ? 
 ¿ qué haber dentro de cada cual que no ser de nadie ? 
 en este asepsia clínico , en este plenilunio de el nada , 
 ¿ qué él poder soñar cuando ya solo quedar 
 el pureza más solo del dolor ?"
peter-poesia_sin título.txt	"Cuanto amor hay
En un sincero abrazo
Cuánto lo echamos 
De menos ahora.
Todo lo que encierra
Abrazar a un ser querido
Un amigo,un familiar a tu
Pareja.
Sensaciones impagables 
Ahí damos amor,cariño 
Sinceridad
Damos la vida y al que
Lo recibe paz
"	"cuanto amor haber 
 en uno sincero abrazo 
 cuánto él echar 
 De meno ahora . 
 todo él que encerrar 
 abrazar a uno ser querido 
 uno amigo , uno familiar a tu 
 pareja . 
 sensación impagabl 
 ahí dar amor , cariño 
 sinceridad 
 dar el vida y al que 
 él recibir paz 
"
alberto-alonso-guardo_cuando-el-confinamiento-concluyo-el-coronavirus-todavia-seguia-alli.txt	Cuando el confinamiento concluyó, el coronavirus todavía seguía allí.	cuando el confinamiento concluir , el coronavirus todavía seguir allí .
tombomba9_sin título.txt	"Miro al cielo
Mil dibujos nublados
Deseos flotando
"	"miro al cielo 
 mil dibujo nublado 
 deseo flotar 
"
perez-zarco_confinamiento.txt	"CONFINAMIENTO

Ahí fuera sigue marzo
con sus lluvias
y sus luces fulgurantes,
con esos aires frescos
que limpian la mañana
y la garganta de los pájaros,
con los hermosos lirios
alzando el vuelo en los arriates,
con las lilas abriéndose
fragantes en los patios,
con este silencio a todas horas,
con esta extraña
soledad de las calles
sin nosotros."	"confinamiento 

 ahí fuera seguir marzo 
 con su lluvia 
 y su luz fulgurante , 
 con ese aire fresco 
 que limpiar el mañana 
 y el garganta de el pájaro , 
 con el hermoso lirio 
 alzar el vuelo en el arriat , 
 con el lila abrir él 
 fragant en el patio , 
 con este silencio a todo hora , 
 con este extraño 
 soledad de el calle 
 sin yo ."
ana merino_el hechizo.txt	"Este presente de remolino
de gotas invisibles,
de veneno minúsculo,
de susurros distantes.
 
Calendario perplejo de días repetidos
que intuyen el enigma
de la fragilidad que nos habita.
 
Qué despierte esa idea del pensamiento pleno,
la energía anhelada,
el sueño solar de las alquimias,
que se inventen la fórmula del cielo
y encuentren su respuesta
en los laboratorios
y rompan este hechizo."	"este presente de remolino 
 de gota invisible , 
 de veneno minúsculo , 
 de susurro distante . 
 
 calendario perplejo de día repetido 
 que intuir el enigma 
 de el fragilidad que yo habitar . 
 
 qué despertar ese idea del pensamiento pleno , 
 el energía anhelado , 
 el sueño solar de el alquimia , 
 que él inventar el fórmula del cielo 
 y encuentren su respuesta 
 en el laboratorio 
 y rompan este hechizo ."
